04	16	22	EDDI	100	6084676
24	08	02	EHAM	025	6204074
24	10	18	LBSF	025	9422654
24	02	20	OPKC	025	0057915
01	01	50	SVMI	025	7977324
12	19	19	OAKB	025	4257393
12	07	31	OSDI	025	1110039
24	06	47	SVMI	015	4704155
01	01	20	OJAI	025	4885606
04	04	48	OOMS	025	6520155
01	23	31	LATI	025	7443822
01	13	16	OAKB	025	2513295
04	04	06	OAKB	025	3660399
04	04	51	SKBO	025	9795455
01	10	02	SUAA	025	0897267
01	16	06	OSDI	022	7334629
01	18	28	SEQM	025	2302128
12	21	12	SEQM	025	1663753
24	10	32	OYSN	025	4954594
12	14	42	SKBO	393	9743163
12	14	22	LBSF	025	3420769
04	22	06	SLLP	025	3923369
01	14	38	EBCI	025	3551754
04	06	02	OERK	043	6041897
12	07	11	LATI	025	0238016
04	05	41	OYSN	025	4334641
12	03	57	EKCH	025	7092342
24	23	26	SLLP	025	9276963
01	04	21	OSDI	025	7803124
24	18	23	EKCH	025	4873156
12	20	34	LBSF	025	2933894
24	17	39	SKBO	025	3189298
01	21	29	LATI	076	7247307
24	20	46	UBBB	025	7601976
01	01	16	SLLP	025	8831052
04	01	34	SUAA	025	8645604
04	14	53	EBCI	025	2852885
04	18	35	EHAM	025	5740315
12	15	07	OSDI	025	2883025
04	23	12	UBBB	025	0645367
24	14	38	LDZA	025	1515477
12	03	02	OJAI	025	4983300
01	11	52	SPIM	025	5341191
24	15	55	SVMI	025	2872013
01	02	32	SABE	025	9734101
04	02	50	SEQM	025	6772004
24	15	05	EHAM	025	4431782
01	23	07	EDDI	025	6963198
24	21	26	SCEL	025	4224906
24	03	58	LATI	025	3138513
24	20	15	OAKB	025	2073832
12	11	14	SPIM	025	5148578
24	19	35	LDZA	025	0929197
04	14	35	SLLP	025	3601371
24	21	12	SABE	025	5590933
24	01	44	LATI	025	8596272
24	15	15	OERK	025	4438470
12	16	20	SUAA	025	3616468
01	04	52	SPIM	025	2002128
24	14	05	UBBB	025	2427746
24	19	08	SGAS	025	1870302
01	08	24	OYSN	025	4296854
24	14	11	LBSF	025	3975728
04	22	05	SPIM	025	1617856
24	08	27	SVMI	025	7893553
24	13	07	EBCI	025	8160943
24	15	55	LATI	025	8534642
24	18	13	EHAM	025	5346695
04	14	50	OOMS	025	1820469
01	09	30	OSDI	025	3100478
24	01	40	LOWW	025	4574569
01	07	30	OPKC	025	2444344
12	04	21	SCEL	025	4731931
12	02	57	LATI	025	2650291
04	23	07	EBCI	025	5327945
01	16	37	SPIM	025	4357943
04	12	43	SEQM	025	8069771
04	21	46	SLLP	025	6269219
24	02	35	OOMS	025	2166047
12	22	55	EBCI	025	6452468
04	22	29	OPKC	025	9162166
12	02	29	UBBB	025	9057051
24	02	29	LOWW	025	5706546
04	13	08	EDDI	025	6684479
01	01	03	SPIM	025	9640555
04	08	59	OPKC	025	2442332
24	16	54	VIDP	025	2858588
12	11	12	OMDB	025	4659653
01	14	07	EBCI	025	3095555
12	11	45	OOMS	025	2105219
12	08	47	SABE	025	2649777
01	03	41	EKCH	083	8600376
12	14	42	SLLP	025	4580735
12	04	42	SCEL	025	9444267
04	16	39	LATI	098	5730064
24	03	21	SUAA	025	8198268
01	12	15	OJAI	025	3564221
12	04	04	UMMS	025	9020259
24	02	47	SLLP	025	4421630
04	06	42	LOWW	025	6025681
01	05	04	SGAS	025	0654213
04	19	05	LBSF	025	2247636
12	07	51	LKPR	025	9600136
12	11	17	EHAM	029	0103436
01	19	32	EHAM	025	2428701
01	16	34	SLLP	025	1814853
12	09	13	SVMI	025	7072607
04	11	21	SVMI	025	7731580
01	12	03	SVMI	025	2351213
01	23	40	SEQM	025	3390045
01	12	08	LATI	025	0136386
12	17	21	OAKB	025	7428690
01	14	27	SKBO	025	6060249
12	07	28	OERK	025	0023575
12	19	38	OJAI	025	9956456
12	11	23	UBBB	025	4032442
24	11	38	UBBB	025	0478595
12	01	39	LDZA	025	8290698
12	20	34	LBSF	025	8648692
24	17	44	LKPR	025	8368789
04	06	08	SBBR	025	6969956
12	19	19	OERK	025	1457728
24	05	54	SGAS	025	4881166
24	19	32	SBBR	025	2612490
24	13	39	SPIM	009	3460644
04	04	06	SLLP	009	4859124
24	10	16	OSDI	009	5361899
12	06	29	OOMS	009	0733629
12	10	09	UBBB	009	0055395
01	17	41	EHAM	009	8330811
12	16	51	EBCI	009	1116040
24	11	37	EHAM	009	5709571
